id_mutation;date_mutation;numero_disposition;nature_mutation;valeur_fonciere;adresse_numero;adresse_suffixe;adresse_nom_voie;adresse_code_voie;code_postal;code_commune;nom_commune;code_departement;ancien_code_commune;ancien_nom_commune;id_parcelle;ancien_id_parcelle;numero_volume;lot1_numero;lot1_surface_carrez;lot2_numero;lot2_surface_carrez;lot3_numero;lot3_surface_carrez;lot4_numero;lot4_surface_carrez;lot5_numero;lot5_surface_carrez;nombre_lots;code_type_local;type_local;surface_reelle_bati;nombre_pieces_principales;code_nature_culture;nature_culture;code_nature_culture_speciale;nature_culture_speciale;surface_terrain;longitude;latitude;section_prefixe
2021-1130587;2021-01-27;1;Vente;230000.00;22;;"QUAI ST VINCENT";6590;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0233;;;82;41.66;;;;;;;;;1;2;Appartement;50.00;2;;;;;;4.8216410;45.7686130;000AB
2021-1130589;2021-01-21;1;Vente;420000.00;23;;"QUAI ST VINCENT";6590;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0233;;;23;86.43;;;;;;;;;1;2;Appartement;87.00;2;;;;;;4.8216410;45.7686130;000AB
2021-1130592;2021-01-22;1;Vente;270000.00;4;;"PL CHARDONNET";1470;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AO0123;;;22;;5;42.74;;;;;;;2;2;Appartement;46.00;1;;;;;;4.8336760;45.7706880;000AO
2021-1130602;2021-01-26;1;Vente;308000.00;27;;"RUE RENE LEYNAUD";5990;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AR0018;;;33;47.79;;;;;;;;;1;2;Appartement;48.00;3;;;;;;4.8342150;45.7701160;000AR
2021-1130613;2021-01-22;1;Vente;468000.00;10;;"RUE DE FLESSELLES";2785;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AH0010;;;8;71.59;;;;;;;;;1;2;Appartement;80.00;3;;;;;;4.8262380;45.7713340;000AH
2021-1130615;2021-02-02;1;Vente;2800000.00;21;;"RUE D'ALGERIE";0160;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0045;;;20;681.50;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";511.00;0;;;;;;4.8323810;45.7678680;000AT
2021-1130615;2021-02-02;1;Vente;2800000.00;21;;"RUE D'ALGERIE";0160;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AT0045;;;20;681.50;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";175.00;0;;;;;;4.8323810;45.7678680;000AT
2021-1130622;2021-01-28;1;Vente;329000.00;38;;"QUAI ST VINCENT";6590;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AI0172;;;112;85.21;;;;;;;;;1;4;"Local industriel. commercial ou assimilé";85.00;0;;;;;;4.8263720;45.7686010;000AI
2021-1130637;2021-01-15;1;Vente;290000.00;7;;"RUE PIERRE DUPONT";5480;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0005;;;18;;23;43.45;;;;;;;2;2;Appartement;45.00;2;;;;;;4.8174860;45.7701910;000AB
2021-1130644;2021-01-29;1;Vente;335735.16;23;;"QUAI ST VINCENT";6590;69001;69381;"Lyon 1er Arrondissement";69;;;69381000AB0233;;;21;88.69;;;;;;;;;1;2;Appartement;89.00;3;;;;;;4.8216410;45.7686130;000AB
